alpha = 1, [a_1 b_1] = [-0.2 0.15] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -4.88281e-05, -3.41797e-05, 0.1499, 10,  ,  ,   
Метод хорд, 4.05461e-07, 2.83823e-07, 0.1499, 4, 0.832258, 0.387166, 
Простая итерация, 3.13875e-07, 2.19713e-07, 0.1499, 7,  ,  , 0.534922 
Метод Эткена, 2.29019e-10, 1.60313e-10, 0.1499, 3,  ,  , 0.534972 
Метод Ньютона, 6.56264e-17, 4.59385e-17, 0.1499, 3, 0.832258, 0.387166,  


alpha = 2, [a_2 b_2] = [-0.2 0.15] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -4.88281e-05, -1.95313e-05, 0.1499, 10,  ,  ,   
Метод хорд, 4.70893e-06, 1.88357e-06, 0.1499, 4, 0.543945, 0.240491, 
Простая итерация, 7.75656e-07, 3.10262e-07, 0.1499, 9,  ,  , 0.558081 
Метод Эткена, 3.55987e-11, 1.42395e-11, 0.1499, 5,  ,  , 0.558131 
Метод Ньютона, 1.36099e-13, 5.44395e-14, 0.1499, 3, 0.543945, 0.240491,  


alpha = 3, [a_3 b_3] = [-0.2 0.15] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -0.000390625, -3.90626e-05, 0.1499, 7,  ,  ,   
Метод хорд, 8.08349e-06, 8.08349e-07, 0.1499, 7, 0.255632, 0.0938161, 
Простая итерация, 5.60796e-06, 5.60796e-07, 0.1499, 20,  ,  , 0.633436 
Метод Эткена, 5.21061e-08, 5.21061e-09, 0.1499, 9,  ,  , 0.633486 
Метод Ньютона, 1.31698e-18, 1.31698e-19, 0.1499, 4, 0.255632, 0.0938161,  


alpha = 4, [a_4 b_4] = [-0.2 0.15] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -0.000390625, 7.81249e-05, 0.1499, 7,  ,  ,   
Метод хорд, 2.81729e-06, -5.63459e-07, 0.1499, 10, 0.105918, 0.0164403, 
Простая итерация, -7.64514e-07, 1.52903e-07, 0.1499, 93,  ,  , 0.845497 
Метод Эткена, -9.86951e-10, 1.9739e-10, 0.1499, 7,  ,  , 0.845547 
Метод Ньютона, 5.04871e-29, -1.00974e-29, 0.1499, 5, 0.105918, 0.0164403,  


alpha = 5, [a_5 b_5] = [-0.2 0.15] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -4.88281e-05, 2.44141e-05, 0.1499, 10,  ,  ,   
Метод хорд, -1.72483e-06, 8.62414e-07, 0.1499, 5, 0.399268, 0.160597, 
Простая итерация, -3.99998e-07, 1.99999e-07, 0.1499, 9,  ,  , 0.598049 
Метод Эткена, 7.87663e-10, -3.93831e-10, 0.1499, 4,  ,  , 0.598099 
Метод Ньютона, 0, 0, 0.1499, 4, 0.399268, 0.160597,  


alpha = 6, [a_6 b_6] = [-0.2 0.15] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -4.88281e-05, 3.90625e-05, 0.1499, 10,  ,  ,   
Метод хорд, 2.09638e-06, -1.67711e-06, 0.1499, 4, 0.692618, 0.304753, 
Простая итерация, -2.10836e-07, 1.68669e-07, 0.1499, 7,  ,  , 0.560147 
Метод Эткена, -5.9629e-11, 4.77032e-11, 0.1499, 3,  ,  , 0.560197 
Метод Ньютона, -1.30642e-14, 1.04514e-14, 0.1499, 3, 0.692618, 0.304753,  


alpha = 7, [a_7 b_7] = [-0.2 0.15] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -4.88281e-05, 5.37109e-05, 0.1499, 10,  ,  ,   
Метод хорд, 6.89358e-07, -7.58294e-07, 0.1499, 4, 0.985968, 0.44891, 
Простая итерация, 2.35505e-07, -2.59055e-07, 0.1499, 6,  ,  , 0.544795 
Метод Эткена, -5.02764e-12, 5.5304e-12, 0.1499, 3,  ,  , 0.544845 
Метод Ньютона, -3.31927e-16, 3.65119e-16, 0.1499, 3, 0.985968, 0.44891,  


alpha = 8, [a_8 b_8] = [-0.2 0.15] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -4.88281e-05, 6.83594e-05, 0.1499, 10,  ,  ,   
Метод хорд, 3.15212e-07, -4.41296e-07, 0.1499, 4, 1.27932, 0.593066, 
Простая итерация, -7.37524e-07, 1.03253e-06, 0.1499, 5,  ,  , 0.536482 
Метод Эткена, -8.77876e-13, 1.22903e-12, 0.1499, 3,  ,  , 0.536532 
Метод Ньютона, -2.53496e-17, 3.54894e-17, 0.1499, 3, 1.27932, 0.593066,  


alpha = 9, [a_9 b_9] = [-0.2 0.15] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -4.88281e-05, 8.30078e-05, 0.1499, 10,  ,  ,   
Метод хорд, -3.75635e-06, 6.3858e-06, 0.1499, 3, 1.57267, 0.737223, 
Простая итерация, -3.43834e-07, 5.84518e-07, 0.1499, 5,  ,  , 0.531269 
Метод Эткена, -2.34644e-13, 3.98894e-13, 0.1499, 3,  ,  , 0.531319 
Метод Ньютона, -3.65283e-18, 6.20981e-18, 0.1499, 3, 1.57267, 0.737223,  


alpha = 10, [a_10 b_10] = [-0.2 0.15] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -4.88281e-05, 9.76562e-05, 0.1499, 10,  ,  ,   
Метод хорд, -2.64703e-06, 5.29405e-06, 0.1499, 3, 1.86602, 0.881379, 
Простая итерация, -1.88708e-07, 3.77417e-07, 0.1499, 5,  ,  , 0.527696 
Метод Эткена, -8.27146e-14, 1.65429e-13, 0.1499, 3,  ,  , 0.527746 
Метод Ньютона, -7.93035e-19, 1.58607e-18, 0.1499, 3, 1.86602, 0.881379,  


